Wavelength	Red	Reflectance	LowCI	UpperCI
289	Painted	1.809259259	1.478257537	2.140260982
290	Painted	1.817777778	1.485664827	2.149890729
291	Painted	1.811111111	1.477932791	2.144289431
292	Painted	1.801604938	1.466700355	2.136509521
293	Painted	1.814691358	1.477181535	2.152201181
294	Painted	1.834814815	1.497605314	2.172024315
295	Painted	1.876419753	1.539324992	2.213514515
296	Painted	1.931481481	1.59474854	2.268214423
297	Painted	1.969259259	1.63112022	2.307398298
298	Painted	1.961975309	1.623095109	2.300855509
299	Painted	1.962839506	1.625188417	2.300490595
300	Painted	1.960740741	1.623101665	2.298379817
301	Painted	1.912592593	1.57922473	2.245960455
302	Painted	1.904444444	1.575151382	2.233737507
303	Painted	1.897160494	1.568589183	2.225731804
304	Painted	1.900925926	1.574470139	2.227381713
305	Painted	1.897654321	1.572108651	2.22319999
306	Painted	1.910123457	1.584807547	2.235439367
307	Painted	1.923148148	1.600087882	2.246208415
308	Painted	1.914074074	1.59179828	2.236349868
309	Painted	1.954197531	1.630648642	2.27774642
310	Painted	1.983888889	1.658732274	2.309045504
311	Painted	2.000617284	1.67512655	2.326108018
312	Painted	2.020864198	1.694690819	2.347037576
313	Painted	2.002469136	1.677377012	2.327561259
314	Painted	1.958333333	1.636451824	2.280214842
315	Painted	1.916666667	1.596859653	2.23647368
316	Painted	1.872592593	1.555388329	2.189796857
317	Painted	1.858333333	1.543557261	2.173109405
318	Painted	1.880123457	1.566613079	2.193633834
319	Painted	1.876790123	1.563981704	2.189598542
320	Painted	1.896296296	1.584859841	2.207732752
321	Painted	1.901481481	1.589999871	2.212963092
322	Painted	1.911604938	1.600819297	2.222390579
323	Painted	1.940617284	1.630434838	2.25079973
324	Painted	1.942962963	1.632470599	2.253455327
325	Painted	1.968518519	1.657167296	2.279869741
326	Painted	1.968024691	1.657188186	2.278861196
327	Painted	1.95537037	1.644612162	2.266128579
328	Painted	1.931234568	1.621263177	2.241205958
329	Painted	1.910246914	1.601300507	2.21919332
330	Painted	1.89691358	1.589295848	2.204531312
331	Painted	1.907037037	1.600050206	2.214023868
332	Painted	1.933580247	1.624547413	2.242613081
333	Painted	1.935925926	1.625301624	2.246550228
334	Painted	1.948703704	1.636713847	2.260693561
335	Painted	1.963950617	1.6518118	2.276089435
336	Painted	1.982716049	1.670751372	2.294680727
337	Painted	2.006790123	1.694943094	2.318637153
338	Painted	2.022962963	1.711289121	2.334636805
339	Painted	2.026790123	1.714450728	2.339129519
